Threshold,TP,FN,FP,TN,GAR_TPR,FAR_FPR,FRR
0.49,143094,2436,77672,67858,0.9832611832611833,0.5337181337181337,0.01673881673881674
0.5,143094,2436,77672,67858,0.9832611832611833,0.5337181337181337,0.01673881673881674
0.51,142516,3014,69162,76368,0.9792894935752079,0.47524221809936096,0.02071050642479214
0.52,141899,3631,60539,84991,0.9750498179069608,0.41598983027554454,0.024950182093039237
0.53,141127,4403,52319,93211,0.9697450697450698,0.35950663093520235,0.030254930254930253
0.54,140220,5310,44306,101224,0.9635126777983921,0.30444581873153304,0.036487322201607914
0.55,139186,6344,37047,108483,0.9564076135504707,0.2545660688517831,0.043592386449529306
0.56,137976,7554,30422,115108,0.9480931766646052,0.20904280904280903,0.051906823335394765
0.57,136619,8911,24705,120825,0.9387686387686388,0.16975881261595546,0.061231361231361234
0.58,135028,10502,19622,125908,0.9278361849790421,0.1348313062598777,0.07216381502095788
0.59,133051,12479,15260,130270,0.9142513571084999,0.10485810485810486,0.08574864289150004
0.6,130813,14717,11699,133831,0.8988730845873703,0.0803889232460661,0.10112691541262969
0.61,128323,17207,8816,136714,0.8817632103346389,0.06057857486428915,0.1182367896653611
0.62,125410,20120,6533,138997,0.861746718889576,0.044891087748230606,0.13825328111042398
0.63,122097,23433,4749,140781,0.8389816532673675,0.0326324469181612,0.16101834673263243
0.64,118452,27078,3446,142084,0.8139352710781282,0.023678966536109392,0.18606472892187179
0.65,114342,31188,2377,143153,0.7856936714079571,0.01633340204768776,0.21430632859204288
0.66,109712,35818,1673,143857,0.7538789253074968,0.011495911495911495,0.24612107469250327
0.67,104663,40867,1111,144419,0.7191850477564763,0.00763416477702192,0.28081495224352365
0.68,99213,46317,738,144792,0.6817357245928675,0.005071119356833642,0.31826427540713254
0.69,93166,52364,483,145047,0.6401841544698688,0.003318903318903319,0.35981584553013124
0.7,86712,58818,283,145247,0.5958359101216244,0.001944616230330516,0.4041640898783756
0.71,80152,65378,179,145351,0.5507592936164365,0.0012299869442726585,0.4492407063835635
0.72,73373,72157,105,145425,0.5041778327492613,0.0007215007215007215,0.4958221672507387
0.73,66227,79303,55,145475,0.4550745550745551,0.0003779289493575208,0.5449254449254449
0.74,59131,86399,37,145493,0.406314849171992,0.0002542431113859685,0.593685150828008
0.75,59131,86399,37,145493,0.406314849171992,0.0002542431113859685,0.593685150828008
0.76,52084,93446,16,145514,0.3578918436061293,0.00010994296708582424,0.6421081563938706
0.77,45118,100412,11,145519,0.3100254243111386,7.558578987150416e-05,0.6899745756888614
0.78,38493,107037,6,145524,0.2645021645021645,4.1228612657184085e-05,0.7354978354978355
0.79,32292,113238,5,145525,0.22189239332096475,3.435717721432007e-05,0.7781076066790352
0.8,26524,119006,1,145529,0.18225795368652511,6.871435442864015e-06,0.8177420463134749
0.81,21274,124256,1,145529,0.14618291761148905,6.871435442864015e-06,0.853817082388511
0.82,16686,128844,1,145529,0.11465677179962894,6.871435442864015e-06,0.885343228200371
0.83,12744,132786,1,145529,0.087569573283859,6.871435442864015e-06,0.912430426716141
0.84,9483,136047,0,145530,0.06516182230467944,0.0,0.9348381776953205
0.85,6843,138687,0,145530,0.04702123273551845,0.0,0.9529787672644815
0.86,4766,140764,0,145530,0.03274926132068989,0.0,0.9672507386793101
0.87,3193,142337,0,145530,0.021940493369064798,0.0,0.9780595066309352
0.88,2045,143485,0,145530,0.014052085480656909,0.0,0.985947914519343
0.89,1242,144288,0,145530,0.008534322820037106,0.0,0.9914656771799629
0.9,703,144827,0,145530,0.004830619116333402,0.0,0.9951693808836666
0.91,399,145131,0,145530,0.0027417027417027417,0.0,0.9972582972582973
0.92,237,145293,0,145530,0.0016285301999587713,0.0,0.9983714698000412
0.93,128,145402,0,145530,0.0008795437366865939,0.0,0.9991204562633134
0.94,66,145464,0,145530,0.00045351473922902497,0.0,0.999546485260771
0.95,28,145502,0,145530,0.0001924001924001924,0.0,0.9998075998075998
0.96,16,145514,0,145530,0.00010994296708582424,0.0,0.9998900570329142
0.97,11,145519,0,145530,7.558578987150416e-05,0.0,0.9999244142101285
0.98,5,145525,0,145530,3.435717721432007e-05,0.0,0.9999656428227857
0.99,3,145527,0,145530,2.0614306328592042e-05,0.0,0.9999793856936714
